"mode","peel","label","ok","terminal_year","echo_end_year","last_survey_year","npar","nll","max_grad","converged","BMSY","OFL_tot","elapsed_sec","problems","warnings"
"drop_survey",0,"drop_survey/0",TRUE,2025,2025,2025,412,-23198.6686434197,0.00186623972053113,FALSE,151.2688126,98.6615237,496.6,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00187 > 1e-03"
"drop_survey",1,"drop_survey/1",TRUE,2024,2024,2024,407,-22518.898976899,0.0109610223759208,FALSE,NA,NA,106.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.011 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",2,"drop_survey/2",TRUE,2023,2023,2023,402,-21804.7340808019,0.00289826914904772,FALSE,NA,NA,106.1,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0029 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",3,"drop_survey/3",TRUE,2022,2022,2022,399,-21243.4072371729,0.00960708147154629,FALSE,NA,NA,106.8,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00961 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",4,"drop_survey/4",TRUE,2021,2021,2021,396,-20659.3260625824,0.0075002879025711,FALSE,NA,NA,102.3,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0075 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",5,"drop_survey/5",TRUE,2020,2020,2019,391,-20167.7534316945,0.00199498610849125,FALSE,NA,NA,101.9,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00199 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",6,"drop_survey/6",TRUE,2019,2019,2019,386,-19770.8612331139,0.00520942859611624,FALSE,NA,NA,100.1,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00521 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",7,"drop_survey/7",TRUE,2018,2018,2018,381,-19007.112953314,0.000342587561668967,TRUE,NA,NA,96.7,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",8,"drop_survey/8",TRUE,2017,2017,2017,376,-18210.9470990352,0.00424153973230625,FALSE,NA,NA,90.8,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00424 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",9,"drop_survey/9",TRUE,2016,2016,2016,371,-17453.7509627934,0.00382253879469475,FALSE,NA,NA,83.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00382 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",10,"drop_survey/10",TRUE,2015,2015,2015,366,-16685.1455714362,0.000791440747078839,TRUE,NA,NA,73.8,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",0,"standard/0",TRUE,2025,2025,2026,412,-23544.9404389722,0.00584743358371326,FALSE,147.83739452,81.42700466,479.5,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00585 > 1e-03"
"standard",1,"standard/1",TRUE,2024,2024,2025,407,-22845.799756085,0.00248045783837249,FALSE,NA,NA,109.6,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00248 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",2,"standard/2",TRUE,2023,2023,2024,402,-22164.5322965649,0.0123089072734606,FALSE,NA,NA,107.9,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0123 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",3,"standard/3",TRUE,2022,2022,2023,399,-21596.4513065266,0.00330899152657165,FALSE,NA,NA,104.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00331 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",4,"standard/4",TRUE,2021,2021,2022,396,-21022.3705304573,0.00785747998201599,FALSE,NA,NA,101.6,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00786 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",5,"standard/5",TRUE,2020,2020,2021,391,-20454.1067907576,0.014890314966945,FALSE,NA,NA,96.9,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0149 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",6,"standard/6",TRUE,2019,2019,2019,386,-19770.9277061148,0.00247404979145857,FALSE,NA,NA,97.6,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00247 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",7,"standard/7",TRUE,2018,2018,2019,381,-19313.5185150527,0.0031373899250422,FALSE,NA,NA,89.7,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00314 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",8,"standard/8",TRUE,2017,2017,2018,376,-18557.1459141603,0.00286436915334855,FALSE,NA,NA,85.1,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00286 > 1e-03; no reference points (GMACS does not compute them for a peel)"
