"","V1","V2","V3"
"1",1990,35.5465562095417,1.52265965863943
"2",1991,9.02779563294146,0.199924588417077
"3",1992,21.1834415760531,0.278295622421399
"4",1993,22.2701583523816,0.115559031110383
"5",1994,7.78206439591139,0.0781261884907289
"6",1995,14.7306237864452,0.021310661702215
"7",1996,23.2300353821624,0.100573669945353
"8",1997,7.10251374427153,0.0990138702161506
"9",1998,19.497060210556,0.00760041904324053
"10",1999,4.12991982661068,0.00802050559609549
"11",2000,3.25339876525434,0.000918842468912956
"12",2001,3.98488712651814,0.0159913694010944
"13",2002,4.50081981059033,0.00183588446377711
"14",2003,2.40199548745759,0.000821388761053258
"15",2004,3.58488762871696,0.0014784297972461
"16",2005,0.622698696502844,0.00353372220581866
"17",2006,4.17454493803792,0.00124945519313769
"18",2007,5.76824116559381,0.018368231087425
"19",2008,5.11393725356141,0.0173897965858076
"20",2009,4.28472161496942,0.0124123820381476
"21",2010,4.47376148288991,0.0100496404614937
"22",2011,3.72522673356899,0.190936000431846
"23",2012,5.52856629603888,0.0571378051879034
"24",2013,10.6144072270591,0.115653820913199
"25",2014,11.6187436042016,0.29894180440904
"26",2015,10.90202454883,0.114997309956948
"27",2016,4.51492759417163,0.0332320913502436
"28",2017,5.88232917956583,0.0280113038115586
"29",2018,8.62504001891633,0.0221893157567928
"30",2019,15.6077666701562,0.0214132915886582
"31",2020,6.11628564952941,0.000781629938578594
"32",2021,1.67668277088071,4.19381270647894e-05
"33",2024,0.663412970719551,1.96348908602834e-05
